dc_key,dispatch_date,dispatch_time,location_block,text_general_code
202119001942,2021-01-11,16:49:00,4700 BLOCK W GIRARD AV,Thefts
202106002736,2021-01-21,17:02:43,500 BLOCK SPRING GARDEN ST,Thefts
202124016502,2021-03-13,18:12:00,2000 BLOCK E GLENWOOD AVE,Motor Vehicle Theft
202107005092,2021-03-03,11:53:00,13000 BLOCK TRINA DR,Other Assaults
202122012265,2021-03-03,21:23:00,3100 BLOCK W ARIZONA ST,Other Assaults
202102002843,2021-01-21,11:41:59,4600 BLOCK E ROOSEVELT BLVD,Thefts
202117006595,2021-03-13,18:39:00,2100 BLOCK DICKINSON ST,Motor Vehicle Theft
202126011258,2021-04-07,20:42:00,1000 BLOCK N HANCOCK ST,Thefts
202103000131,2021-01-01,18:49:00,0 BLOCK MIFFLIN ST,Thefts
202124012178,2021-02-23,20:28:07,3200 BLOCK KENSINGTON AV,Fraud
202112018451,2021-03-17,08:47:00,6700 BLOCK ESSINGTON AVE,Motor Vehicle Theft
202106012276,2021-03-29,09:10:09,N 10TH ST  /  MARKET ST,Thefts
202126011199,2021-04-07,11:56:00,300 BLOCK W Thompson,Theft from Vehicle
202115003190,2021-01-13,14:43:00,4800 BLOCK OXFORD AV,Thefts
202107006166,2021-03-14,18:01:33,1200 BLOCK BYBERRY RD,Burglary Non-Residential
202125015984,2021-03-17,11:42:00,100 BLOCK W ERIE AVE,Motor Vehicle Theft
202112011273,2021-02-16,15:20:27,8200 BLOCK BARTRAM AV,Other Assaults
202105001052,2021-01-25,17:22:39,7900 BLOCK HENRY AV,Thefts
202106007045,2021-02-21,10:24:00,1300 BLOCK ARCH ST,Theft from Vehicle
202124014197,2021-03-04,20:21:37,3100 BLOCK G ST,Narcotic / Drug Law Violations
202105002741,2021-03-03,10:29:44,4400 BLOCK DEXTER ST,Vandalism/Criminal Mischief
202106000176,2021-01-02,14:09:07,400 BLOCK N 5TH ST,Thefts
202106000178,2021-01-02,14:35:17,400 BLOCK N 5TH ST,Thefts
202106000205,2021-01-02,17:33:58,400 BLOCK N 5TH ST,Thefts
202106000172,2021-01-02,12:38:03,400 BLOCK N 5TH ST,Thefts
